CategoryID,CategoryName
1,Fiction
2,Biography & Autobiography
3,Comics & Graphic Novels
4,Young Adult Fiction
5,Juvenile Fiction
7,Body
8,Mind & Spirit
9,Book clubs (Discussion groups)
10,Travel
11,True Crime
12,Bible Stories
14,Performing Arts
15,Good and evil
17,Conduct of life
18,Cooking
20,Antiques & Collectibles
21,Nature
22,Great Britain
23,Wild plants
24,Edible
25,Psychology
26,House & Home
27,Audiobooks
28,History
29,Young Adult Nonfiction
30,Adventure stories
31,Gothic fiction
32,African American authors
33,Literary Criticism
34,Drama
35,Detective and mystery stories
36,England
37,Adventure and adventurers
38,English language
39,Education
40,Photography
41,Permanent makeup
42,Art
43,Photojournalism
44,Humus
45,Religion
46,Photograph collections
47,Science
48,Astrology
49,Law
50,Self-Help
51,Political Science
52,Business & Economics
53,Philosophy
54,Sports & Recreation
55,Bible stories
56,Social Science
57,Poetry
58,Gardening
59,Juvenile Nonfiction
60,Floriculture
61,Language Arts & Disciplines
62,Information literacy
63,Information technology
66,Health & Fitness
67,Punk culture
68,Nineteen seventies
69,Weeds
70,Pets
71,Architecture
72,Fungi
73,Couples
74,Fantasy
75,Horror
76,Hunting and Animals
77,Sci-Fi
78,Historical Fiction
79,Science Fiction
80,Memoir
81,Politics
82,Non-fiction
83,Music
84,Autobiography
85,Biography
86,Hunting
